vendedor_1,vendedor_2,producto,fecha
7,8,DRONE99,15/01/2015
7,6,SMARTWAT,09/06/2011
2,5,CELULAA01,01/08/2017
6,5,CONSOLA9,22/06/2010
7,6,CONSOLA9,13/03/2023
2,9,LAPTOP15,04/06/2022
7,7,IMPRES33,01/03/2015
5,7,AIRE2200,14/03/2023
7,4,IMPRES33,10/12/2014
6,5,TABLET10,28/02/2010
5,7,TV42,05/08/2011
6,12,DRONE99,16/11/2025
5,8,AIRE2200,26/02/2024
4,11,TABLET10,28/04/2011
7,8,IMPRES33,19/02/2015
1,13,IMPRES33,07/07/2011
8,9,LAPTOP15,15/09/2010
4,1,TV42,30/05/2017
5,9,DRONE99,04/08/2011
3,7,IMPRES33,13/07/2021
7,2,TABLET10,04/05/2015
2,4,TV42,31/03/2016
5,11,SMARTWAT,02/01/2025
10,11,AIRE2200,20/11/2020
7,4,AIRE2200,22/10/2014
7,5,AIRE2200,04/02/2022
10,4,CONSOLA9,19/12/2012
1,7,IMPRES33,22/10/2022
5,9,SMARTWAT,04/12/2022
3,11,LAPTOP15,08/08/2020
8,5,CONSOLA9,14/06/2015
7,4,IMPRES33,10/08/2020
3,6,TABLET10,17/02/2019
1,6,AIRE2200,09/04/2014
5,6,LAPTOP15,12/02/2012
3,4,CELULAA01,05/03/2012
6,4,AIRE2200,12/10/2024
3,7,TV42,02/09/2019
4,9,TV42,12/12/2017
5,10,TV42,02/07/2019
8,4,SMARTWAT,22/03/2019
7,10,CONSOLA9,22/06/2020
5,7,TABLET10,20/03/2011
4,5,TABLET10,07/02/2025
6,9,CELULAA01,28/08/2024
8,7,LAPTOP15,29/06/2024
4,6,TABLET10,17/03/2012
3,8,LAPTOP15,12/05/2011
2,3,SMARTWAT,12/01/2019
3,7,CONSOLA9,11/08/2017
9,5,CAMARAHD,14/06/2012
5,6,CAMARAHD,30/07/2015
4,5,LAPTOP15,19/04/2014
7,9,AIRE2200,08/04/2014
8,4,CONSOLA9,11/01/2022
4,5,DRONE99,24/01/2020
4,3,LAPTOP15,22/02/2013
8,10,DRONE99,19/06/2019
5,5,IMPRES33,12/02/2014
5,8,CELULAA01,31/03/2016
6,6,TABLET10,17/05/2020
7,7,DRONE99,09/08/2015
2,15,LAPTOP15,10/09/2011
1,6,LAPTOP15,10/12/2019
7,5,TV42,06/05/2022
5,6,LAPTOP15,13/03/2012
4,10,IMPRES33,19/02/2011
4,5,AIRE2200,17/08/2024
3,9,TABLET10,15/02/2022
8,5,LAPTOP15,01/05/2010
7,7,LAPTOP15,04/02/2012
1,12,CAMARAHD,21/04/2015
2,13,SMARTWAT,24/09/2013
4,7,TABLET10,12/02/2019
6,8,SMARTWAT,22/11/2020
4,4,TV42,18/10/2020
6,6,DRONE99,18/10/2014
8,7,CELULAA01,30/12/2018
7,9,SMARTWAT,26/04/2011
5,5,SMARTWAT,10/09/2013
2,7,CELULAA01,02/07/2018
1,5,AIRE2200,18/01/2010
7,5,LAPTOP15,04/10/2018
4,5,IMPRES33,13/12/2015
1,9,AIRE2200,16/03/2020
6,5,TABLET10,25/05/2016
5,8,CONSOLA9,28/06/2019
8,7,CELULAA01,16/08/2025
5,5,TV42,19/06/2022
4,4,SMARTWAT,05/11/2024
10,8,CELULAA01,30/11/2020
7,4,CONSOLA9,22/06/2013
4,4,TV42,05/04/2014
8,8,CONSOLA9,27/08/2016
5,8,CONSOLA9,19/11/2014
5,8,DRONE99,25/04/2011
5,9,DRONE99,28/12/2022
2,7,CELULAA01,28/02/2022
3,7,CONSOLA9,15/05/2011
4,5,CELULAA01,13/01/2017
9,6,LAPTOP15,14/04/2011
0,8,DRONE99,15/02/2011
5,7,IMPRES33,07/02/2023
5,5,TABLET10,10/09/2020
5,8,TABLET10,12/04/2021
5,9,AIRE2200,29/11/2021
4,10,CELULAA01,13/07/2013
9,6,AIRE2200,11/04/2011
6,9,TABLET10,23/05/2021
2,5,DRONE99,19/10/2011
6,5,AIRE2200,03/03/2014
6,5,SMARTWAT,16/07/2011
6,10,TABLET10,07/05/2023
5,7,LAPTOP15,11/07/2011
2,11,DRONE99,22/02/2025
5,10,TABLET10,11/04/2015
3,12,IMPRES33,21/01/2019
3,5,CAMARAHD,09/09/2012
3,8,DRONE99,11/10/2022
6,5,IMPRES33,10/07/2015
6,5,IMPRES33,26/12/2022
4,8,IMPRES33,03/05/2023
5,7,SMARTWAT,22/11/2010
5,9,CELULAA01,22/11/2023
7,7,DRONE99,03/11/2011
5,4,SMARTWAT,28/05/2019
3,11,IMPRES33,29/09/2024
4,6,AIRE2200,03/02/2023
7,7,TABLET10,05/09/2022
5,4,LAPTOP15,22/09/2021
7,9,SMARTWAT,04/02/2017
8,8,CAMARAHD,07/11/2015
7,9,CAMARAHD,01/08/2014
5,3,CONSOLA9,08/01/2025
8,7,DRONE99,17/01/2017
4,14,TV42,10/05/2015
6,9,TV42,16/12/2015
8,8,TABLET10,17/11/2018
6,15,DRONE99,08/12/2012
3,7,AIRE2200,24/01/2025
8,8,IMPRES33,23/06/2024
4,5,CELULAA01,23/09/2016
7,8,CAMARAHD,03/04/2020
2,9,CAMARAHD,03/02/2017
10,7,TABLET10,18/08/2011
6,11,LAPTOP15,18/03/2010
4,4,CAMARAHD,12/04/2020
5,10,CONSOLA9,07/12/2023
6,7,CELULAA01,18/08/2022
4,9,DRONE99,30/03/2012
5,6,LAPTOP15,24/08/2011
6,5,CELULAA01,22/01/2022
3,7,IMPRES33,13/10/2014
7,2,LAPTOP15,07/05/2021
7,6,CONSOLA9,13/12/2015
8,6,TV42,21/12/2012
4,7,CELULAA01,30/10/2017
7,7,CONSOLA9,18/07/2011
3,7,CAMARAHD,25/06/2015
4,11,DRONE99,16/04/2018
4,0,CONSOLA9,23/05/2016
0,5,AIRE2200,16/07/2013
1,8,LAPTOP15,30/10/2019
1,8,DRONE99,09/03/2022
7,5,LAPTOP15,12/10/2025
5,3,TABLET10,14/10/2016
5,6,IMPRES33,20/09/2023
8,7,SMARTWAT,01/09/2024
3,2,CELULAA01,12/11/2021
5,6,TV42,06/03/2010
3,11,CAMARAHD,24/12/2024
5,5,IMPRES33,10/06/2022
1,5,TABLET10,18/09/2016
7,6,SMARTWAT,17/11/2024
2,6,CELULAA01,28/04/2012
4,7,TV42,05/01/2013
6,9,AIRE2200,07/12/2015
7,8,TV42,03/08/2012
9,10,LAPTOP15,26/05/2012
4,7,SMARTWAT,30/05/2022
1,8,TV42,27/06/2013
4,3,CAMARAHD,10/02/2016
6,9,SMARTWAT,27/04/2016
3,6,TABLET10,26/07/2023
4,5,TABLET10,22/09/2014
2,8,LAPTOP15,09/09/2017
6,5,AIRE2200,26/07/2014
8,6,SMARTWAT,02/06/2025
7,7,TABLET10,23/03/2024
2,4,DRONE99,03/12/2015
6,6,DRONE99,03/05/2021
9,10,SMARTWAT,16/12/2020
3,4,CELULAA01,20/08/2015
8,10,CONSOLA9,21/02/2011
7,6,IMPRES33,27/01/2012
6,5,DRONE99,24/03/2024
10,7,CONSOLA9,02/07/2019
5,9,TV42,16/03/2016
5,14,IMPRES33,28/12/2010
5,8,SMARTWAT,30/01/2010
5,7,CONSOLA9,25/06/2017
4,6,CONSOLA9,07/12/2012
10,5,TABLET10,16/04/2024
3,4,AIRE2200,16/11/2015
2,6,SMARTWAT,16/08/2013
6,3,DRONE99,29/11/2019
4,4,TABLET10,17/05/2022
4,6,SMARTWAT,29/10/2025
8,7,CAMARAHD,05/08/2019
5,6,IMPRES33,31/07/2022
4,8,TABLET10,21/03/2010
7,11,TABLET10,05/07/2012
4,4,CELULAA01,09/09/2011
2,5,DRONE99,01/07/2025
2,6,DRONE99,06/05/2013
3,10,TABLET10,28/03/2022
3,8,CELULAA01,23/10/2010
8,8,CAMARAHD,13/04/2018
6,8,IMPRES33,24/01/2023
0,4,DRONE99,24/05/2022
8,9,SMARTWAT,28/04/2013
5,8,SMARTWAT,22/08/2019
4,7,AIRE2200,10/11/2012
5,2,LAPTOP15,09/12/2010
7,4,IMPRES33,30/11/2016
6,1,CELULAA01,07/03/2018
3,8,IMPRES33,23/11/2010
4,9,CONSOLA9,10/01/2018
2,9,LAPTOP15,17/09/2014
4,9,TV42,19/04/2025
1,7,CONSOLA9,07/08/2015
9,4,SMARTWAT,16/12/2024
3,10,TV42,22/04/2012
1,6,DRONE99,07/12/2017
5,10,CELULAA01,23/07/2022
4,7,CELULAA01,12/02/2019
6,5,IMPRES33,03/12/2023
5,3,TV42,20/06/2013
8,6,SMARTWAT,24/04/2015
5,4,LAPTOP15,24/08/2013
7,8,CELULAA01,21/12/2013
4,9,CONSOLA9,01/04/2019
1,5,DRONE99,23/07/2010
5,6,CELULAA01,09/01/2014
4,6,LAPTOP15,14/06/2017
3,7,SMARTWAT,27/03/2019
2,4,CELULAA01,09/01/2025
12,7,DRONE99,26/07/2015
5,12,TABLET10,26/12/2015
10,8,CAMARAHD,28/07/2013
6,5,DRONE99,23/09/2025
1,5,TABLET10,04/06/2012
6,4,AIRE2200,31/07/2018
2,5,CELULAA01,14/11/2010
4,10,TABLET10,22/07/2020
5,7,CONSOLA9,28/12/2014
8,7,DRONE99,23/06/2014
4,6,SMARTWAT,28/04/2020
2,4,CAMARAHD,04/11/2017
1,10,AIRE2200,05/11/2016
8,6,IMPRES33,08/02/2015
8,7,TABLET10,01/01/2015
4,8,CELULAA01,13/07/2010
1,11,CAMARAHD,20/10/2024
9,9,LAPTOP15,02/05/2014
4,5,IMPRES33,09/12/2018
2,9,CAMARAHD,13/05/2017
4,7,CELULAA01,01/04/2016
3,5,LAPTOP15,23/07/2011
8,7,IMPRES33,05/04/2016
9,8,CONSOLA9,16/11/2017
4,15,CELULAA01,22/05/2024
4,6,CAMARAHD,05/06/2021
5,11,IMPRES33,19/12/2018
11,7,CELULAA01,29/03/2025
8,5,IMPRES33,10/01/2022
6,8,LAPTOP15,05/06/2017
2,12,TABLET10,15/08/2010
8,6,CONSOLA9,02/08/2012
7,8,CELULAA01,10/11/2015
6,10,SMARTWAT,02/01/2014
5,11,TABLET10,09/01/2023
3,11,TABLET10,15/12/2015
5,7,TV42,10/11/2010
3,8,CONSOLA9,07/06/2012
3,7,CELULAA01,20/05/2023
7,3,AIRE2200,30/09/2019
4,3,AIRE2200,02/10/2017
4,9,TABLET10,13/01/2017
6,8,SMARTWAT,15/10/2019
6,6,CONSOLA9,07/08/2023
3,6,CONSOLA9,21/06/2021
4,9,TABLET10,05/08/2012
6,7,SMARTWAT,22/08/2018
6,8,CAMARAHD,07/12/2022
6,5,CAMARAHD,07/04/2014
6,10,AIRE2200,18/09/2015
3,6,DRONE99,30/12/2010
5,8,IMPRES33,24/11/2025
2,6,IMPRES33,13/10/2019
5,8,CAMARAHD,14/01/2010
3,6,AIRE2200,30/08/2021
3,4,TV42,28/01/2022
5,3,CELULAA01,28/05/2025
11,5,DRONE99,15/01/2025
7,6,TV42,03/06/2014
7,7,TV42,03/03/2018
4,10,DRONE99,04/09/2019
1,7,SMARTWAT,28/07/2011
4,5,LAPTOP15,24/11/2024
5,4,CAMARAHD,28/05/2017
4,10,IMPRES33,23/12/2023
4,7,DRONE99,15/01/2017
7,8,CAMARAHD,17/11/2024
6,3,LAPTOP15,17/10/2012
8,8,CELULAA01,26/09/2016
4,9,CELULAA01,17/05/2021
3,3,IMPRES33,08/12/2016
0,2,IMPRES33,16/12/2024
4,6,AIRE2200,28/02/2019
1,6,AIRE2200,26/04/2017
4,6,DRONE99,10/01/2019
3,2,CELULAA01,21/08/2025
5,5,IMPRES33,19/08/2016
6,7,AIRE2200,08/06/2022
6,8,IMPRES33,08/11/2012
4,3,CONSOLA9,21/04/2014
4,9,IMPRES33,07/06/2019
5,10,TABLET10,30/11/2024
1,4,LAPTOP15,03/07/2018
9,6,SMARTWAT,11/03/2025
7,11,TV42,26/11/2013
5,4,SMARTWAT,22/10/2023
4,7,TV42,07/10/2022
5,7,AIRE2200,01/10/2016
4,11,TV42,09/02/2019
1,10,DRONE99,16/04/2022
3,8,TV42,04/01/2010
7,5,CAMARAHD,25/10/2016
6,8,TV42,08/06/2016
10,5,LAPTOP15,18/09/2014
4,5,TABLET10,23/08/2019
5,11,DRONE99,04/01/2023
6,9,CELULAA01,10/08/2023
6,6,DRONE99,07/09/2024
8,4,SMARTWAT,24/03/2017
4,12,CAMARAHD,06/06/2020
3,9,CONSOLA9,29/11/2019
3,12,TV42,02/12/2019
9,4,CAMARAHD,25/02/2025
7,12,CAMARAHD,17/10/2014
2,6,CONSOLA9,19/06/2021
2,9,DRONE99,12/08/2020
4,3,CAMARAHD,22/10/2013
6,6,LAPTOP15,11/10/2024
9,1,CONSOLA9,26/11/2011
11,6,CELULAA01,13/05/2016
4,5,LAPTOP15,24/07/2021
7,3,CELULAA01,21/11/2024
7,7,TV42,13/03/2024
3,5,SMARTWAT,21/11/2023
7,5,AIRE2200,08/07/2017
5,4,IMPRES33,05/02/2012
2,9,SMARTWAT,09/04/2015
9,5,TV42,02/02/2025
6,4,TV42,17/12/2016
3,8,LAPTOP15,15/01/2015
6,8,SMARTWAT,20/06/2014
3,8,SMARTWAT,22/04/2013
2,3,IMPRES33,20/07/2010
8,5,CELULAA01,14/01/2011
4,8,CELULAA01,29/06/2015
5,3,DRONE99,28/08/2020
4,6,CAMARAHD,17/09/2023
3,2,CELULAA01,20/08/2011
4,9,DRONE99,19/03/2020
3,8,CELULAA01,19/04/2019
11,7,CAMARAHD,16/02/2024
6,11,TV42,29/11/2022
5,12,TABLET10,12/05/2014
5,7,CAMARAHD,14/08/2025
5,9,AIRE2200,12/08/2018
3,8,TABLET10,01/02/2021
6,3,CONSOLA9,18/12/2018
4,11,TV42,22/06/2015
5,5,TABLET10,23/04/2013
3,11,TV42,18/09/2024
7,11,CONSOLA9,04/06/2025
3,8,TABLET10,15/02/2010
6,14,CELULAA01,23/05/2012
7,7,SMARTWAT,15/07/2019
1,6,CAMARAHD,28/11/2014
6,17,CAMARAHD,11/12/2013
4,6,CONSOLA9,10/08/2025
2,6,CELULAA01,14/08/2021
2,8,CAMARAHD,02/06/2020
5,9,CELULAA01,16/02/2011
5,6,SMARTWAT,03/07/2022
3,7,LAPTOP15,04/08/2015
5,8,IMPRES33,21/09/2012
11,8,CONSOLA9,28/03/2020
2,3,LAPTOP15,28/12/2012
6,7,TV42,03/06/2020
5,7,TABLET10,21/12/2024
3,10,DRONE99,30/11/2021
4,5,SMARTWAT,15/07/2022
10,9,CAMARAHD,10/05/2023
1,7,CONSOLA9,12/02/2017
8,9,SMARTWAT,05/12/2019
3,5,TABLET10,28/09/2023
5,6,DRONE99,28/04/2021
4,9,TABLET10,28/07/2019
11,5,CONSOLA9,16/04/2022
3,3,DRONE99,01/01/2020
4,11,AIRE2200,27/07/2013
3,13,IMPRES33,24/08/2020
3,3,SMARTWAT,04/02/2020
8,8,CONSOLA9,25/10/2015
1,9,CONSOLA9,19/07/2015
5,4,CAMARAHD,20/04/2024
7,8,LAPTOP15,21/03/2016
3,7,CAMARAHD,10/09/2021
7,13,TV42,13/11/2020
5,6,LAPTOP15,22/01/2024
7,6,AIRE2200,14/05/2015
5,9,SMARTWAT,28/02/2016
7,2,TV42,13/11/2019
5,7,LAPTOP15,27/09/2011
4,8,TABLET10,29/05/2016
5,3,IMPRES33,05/04/2015
11,4,DRONE99,04/02/2016
7,7,CONSOLA9,14/07/2017
6,5,IMPRES33,04/03/2017
3,9,TABLET10,11/02/2022
0,6,SMARTWAT,23/10/2011
10,5,CELULAA01,07/02/2013
5,1,DRONE99,20/05/2013
5,6,SMARTWAT,10/03/2015
3,6,DRONE99,04/08/2018
4,6,IMPRES33,25/07/2025
2,3,CAMARAHD,05/06/2013
2,4,TABLET10,04/11/2025
7,9,CELULAA01,19/10/2014
3,7,CELULAA01,11/06/2011
1,11,CAMARAHD,22/04/2019
3,6,DRONE99,22/02/2019
7,9,DRONE99,03/06/2017
5,6,DRONE99,04/03/2022
5,8,IMPRES33,13/06/2020
4,6,TV42,30/04/2019
5,8,SMARTWAT,26/05/2011
5,7,CONSOLA9,22/08/2014
3,13,IMPRES33,04/06/2019
3,8,LAPTOP15,26/09/2018
6,11,TABLET10,06/02/2023
6,6,CAMARAHD,07/08/2025
4,5,TABLET10,10/06/2010
9,7,IMPRES33,30/11/2022
6,7,CONSOLA9,14/07/2018
5,6,TV42,12/09/2020
5,2,IMPRES33,18/02/2010
4,12,CONSOLA9,21/11/2017
10,9,TV42,12/09/2016
6,4,TV42,30/09/2018
2,5,AIRE2200,26/05/2019
4,9,TV42,27/01/2022
3,5,CONSOLA9,01/04/2022
2,5,IMPRES33,13/07/2023
5,5,CAMARAHD,12/12/2014
6,8,IMPRES33,13/12/2020
5,9,AIRE2200,03/12/2014
10,8,CAMARAHD,14/02/2016
5,9,LAPTOP15,11/10/2019
5,6,IMPRES33,22/11/2020
4,3,CELULAA01,26/08/2010
4,2,AIRE2200,21/09/2018
3,6,DRONE99,16/07/2017
6,5,AIRE2200,01/01/2025
4,10,CONSOLA9,26/03/2025
2,9,TABLET10,26/01/2019
9,6,TABLET10,14/09/2013
5,9,AIRE2200,25/06/2020
9,2,CELULAA01,11/11/2012
5,8,CONSOLA9,16/12/2023
5,7,TABLET10,24/12/2021
1,8,AIRE2200,09/08/2010
5,5,TABLET10,02/11/2018
8,6,CELULAA01,11/04/2023
6,8,TV42,29/08/2022
2,4,LAPTOP15,14/11/2024
5,11,IMPRES33,11/08/2010
5,3,CONSOLA9,19/11/2011
4,10,LAPTOP15,01/06/2024
6,8,LAPTOP15,13/08/2019
5,5,AIRE2200,16/01/2013
6,6,CONSOLA9,10/05/2020
5,4,IMPRES33,28/01/2014
4,8,CELULAA01,16/02/2011
7,8,IMPRES33,02/11/2015
5,4,TABLET10,03/07/2018
7,9,CELULAA01,05/05/2017
6,7,AIRE2200,30/09/2014
4,2,SMARTWAT,13/03/2020
8,7,SMARTWAT,01/05/2017
4,5,LAPTOP15,27/07/2017
3,16,SMARTWAT,03/07/2018
5,5,SMARTWAT,29/03/2016
10,8,LAPTOP15,16/06/2019
6,12,CONSOLA9,29/08/2015
4,4,IMPRES33,02/11/2011
3,5,DRONE99,19/07/2020
3,3,LAPTOP15,08/06/2010
5,2,CAMARAHD,05/02/2022
2,9,DRONE99,03/03/2011
6,4,IMPRES33,06/11/2017
2,4,TV42,11/01/2015
5,5,SMARTWAT,31/07/2024
2,8,CONSOLA9,17/07/2011
6,5,AIRE2200,14/08/2024
3,5,IMPRES33,26/11/2010
5,2,IMPRES33,12/09/2010
2,7,CELULAA01,19/07/2015
6,5,CONSOLA9,22/06/2014
6,6,SMARTWAT,16/06/2010
7,16,CELULAA01,08/12/2023
6,4,TABLET10,02/06/2013
6,5,DRONE99,09/05/2015
4,13,TV42,31/10/2012
4,7,TABLET10,15/08/2020
7,4,TABLET10,06/01/2025
5,9,CELULAA01,26/07/2012
5,4,LAPTOP15,26/08/2022
8,14,DRONE99,21/11/2014
4,6,CAMARAHD,06/06/2020
2,7,LAPTOP15,09/09/2025
3,6,DRONE99,01/10/2015
4,3,DRONE99,10/04/2018
6,5,SMARTWAT,06/10/2013
9,10,DRONE99,04/08/2023
3,8,IMPRES33,15/08/2023
5,11,CELULAA01,27/07/2012
3,7,LAPTOP15,03/09/2013
2,8,SMARTWAT,23/12/2016
4,8,LAPTOP15,04/06/2012
9,10,CELULAA01,24/12/2022
4,5,CAMARAHD,30/07/2010
5,9,IMPRES33,30/12/2016
8,15,IMPRES33,30/11/2022
8,4,CONSOLA9,11/03/2025
5,8,LAPTOP15,02/06/2018
3,8,TV42,24/11/2018
9,10,CAMARAHD,13/06/2014
2,7,SMARTWAT,15/09/2011
8,10,DRONE99,13/04/2023
7,13,TABLET10,28/06/2025
6,9,SMARTWAT,26/01/2024
9,8,IMPRES33,13/06/2015
3,1,TV42,14/04/2012
