valor_1,valor_2,codigo,fecha
445,3673,NI214,15/09/2022
664,4727,LA837,13/01/2019
997,8534,JQ740,02/10/2015
439,7734,ZI952,21/11/2018
191,8053,SW813,07/05/2025
466,5156,PO870,15/01/2025
554,5388,HQ096,27/05/2021
527,6307,HP772,08/12/2015
608,7634,RW253,07/03/2022
875,2383,SE325,26/04/2014
134,7810,LB250,18/01/2023
305,2341,RK833,04/09/2010
180,7934,WU565,28/01/2018
661,3987,HQ653,07/09/2016
971,6059,VB499,07/04/2018
487,6939,RC192,10/01/2016
101,5109,FT459,16/11/2013
489,6082,QY484,20/01/2024
665,7630,DK728,24/05/2012
205,6515,JQ443,05/03/2011
871,4798,IB137,11/06/2016
921,5240,VE122,12/10/2025
576,3988,CT667,25/03/2024
802,8028,DF202,10/08/2025
501,5414,FX764,16/01/2023
829,3849,XW005,19/02/2021
655,2305,NC404,24/10/2025
261,5613,BX060,21/02/2013
301,4749,QR404,24/01/2024
369,6964,DZ333,24/11/2021
962,8680,SB815,18/04/2011
915,3135,GP240,21/11/2021
370,7530,HH449,03/09/2016
555,2205,AW540,24/04/2019
561,9352,YR032,27/05/2023
826,9549,WI762,17/03/2022
351,6591,OQ799,13/04/2013
801,5450,HR498,11/03/2010
395,9214,DG531,16/08/2024
824,8005,BA521,26/10/2016
819,5811,YX982,17/07/2023
848,5622,JF892,10/09/2011
437,5599,BU354,11/07/2022
978,4551,TJ394,30/12/2012
152,7141,IE505,03/11/2022
891,6308,CF785,09/01/2017
316,2309,UW648,12/08/2018
863,4708,WJ417,17/08/2012
287,3991,PO039,02/02/2025
479,8896,MG788,26/05/2014
592,2271,CI087,02/07/2012
140,5642,VR043,21/08/2025
256,6086,EY144,11/02/2016
114,3822,AV017,02/06/2022
912,9081,DT425,25/09/2025
164,5273,RM019,20/09/2018
956,8175,WQ085,01/12/2012
938,6538,UW141,28/03/2012
620,8305,CR067,31/12/2023
443,8910,SC735,02/02/2024
228,6349,KU735,29/07/2019
747,2520,ON714,31/08/2022
571,2976,IO898,13/11/2018
162,5722,NI185,15/07/2017
238,5551,GD965,19/11/2016
598,6105,AE321,17/09/2021
692,4773,HY670,18/08/2021
491,4552,VB126,18/11/2015
774,4832,AV717,19/08/2014
518,5907,XZ120,14/12/2020
388,7679,JY787,30/11/2025
478,8579,JS293,23/03/2025
872,7230,WJ365,28/05/2018
589,2152,ZF359,24/08/2022
330,7754,ET674,09/02/2018
140,4964,LA161,08/06/2015
127,4916,YC279,19/01/2012
234,9269,FV579,21/12/2019
300,4800,OL393,07/02/2022
939,7952,FS904,06/01/2021
879,7310,PR779,29/03/2025
132,3752,XY750,19/12/2021
147,4610,CH315,19/07/2013
602,5875,TM105,30/01/2020
506,3104,QR902,27/08/2013
673,4536,IO205,15/03/2024
827,6990,QV297,30/10/2022
904,7207,SF759,19/03/2011
198,9361,XF151,13/01/2016
783,6199,RW382,19/10/2011
971,5854,CV928,14/03/2021
825,9263,VS780,11/06/2019
646,5494,TU085,01/07/2019
838,3914,KD817,05/04/2010
712,9365,SQ383,05/02/2018
561,5072,MA258,25/07/2015
742,3006,LI056,24/06/2024
868,2406,AP167,10/11/2023
104,7497,KV985,03/06/2023
317,2166,SZ482,02/09/2020
602,2508,ID765,24/07/2014
866,3661,BI807,27/05/2015
497,8456,MM209,01/09/2018
970,5664,SU117,21/02/2025
894,5489,QV322,16/10/2020
492,6858,DU360,09/02/2010
306,2680,UE094,29/12/2020
114,4524,EK794,21/05/2017
957,4120,MU349,30/09/2015
653,7260,WC091,13/03/2011
991,6677,SY063,01/09/2017
560,6357,JL042,20/02/2021
790,3363,ML868,13/10/2014
674,3331,AF572,28/11/2022
963,4292,KX203,25/02/2017
842,3538,HY448,27/07/2016
340,5408,LX372,18/06/2020
663,9742,HY220,01/09/2021
195,2560,OS609,09/08/2012
999,3099,JU249,05/05/2019
833,3903,VU895,01/02/2012
584,2174,OT157,27/01/2023
506,4156,FA702,19/03/2021
330,4230,GA966,02/09/2011
848,6287,CS590,31/03/2019
754,6160,KK207,29/12/2022
270,5920,AV416,02/07/2012
640,9106,KY179,12/04/2012
135,3497,PL760,04/06/2014
624,5854,AC523,29/05/2011
259,5171,FX824,21/10/2020
938,3567,DQ845,13/06/2016
798,9007,NP722,27/07/2021
342,3151,NY516,23/07/2025
185,9619,SG138,18/05/2020
895,8033,BS313,15/09/2010
677,2368,NB098,21/03/2017
781,6946,JJ577,18/10/2023
656,2042,IO102,18/07/2019
673,3907,AF043,12/06/2021
745,5490,LX660,09/08/2014
895,4535,FM019,26/10/2021
127,6173,FX469,02/07/2016
719,4873,VR897,14/12/2019
655,3824,IB763,28/03/2010
439,3293,RI110,17/04/2020
897,6769,HJ096,09/06/2021
430,6796,QN497,09/06/2020
739,6854,PX951,20/12/2015
605,8019,TF102,07/08/2023
447,8871,OT982,16/11/2014
572,5386,LM583,04/12/2015
330,4972,PM611,02/03/2012
289,5922,XM291,06/02/2012
324,6997,LQ886,06/09/2024
484,9032,CI517,27/04/2018
476,2992,EV819,04/12/2013
382,7287,UY084,08/11/2023
732,4386,MW329,22/10/2015
727,4240,UU077,11/10/2017
844,3476,VS857,27/06/2011
358,8426,AT056,26/12/2022
458,5407,BH494,30/11/2022
809,2389,XO640,20/12/2013
555,2999,VS519,13/03/2012
510,6620,QH717,20/11/2023
748,9407,TX643,22/04/2024
417,3855,AU174,08/10/2015
776,7602,SE734,02/05/2014
324,2658,NG626,09/05/2010
918,4763,TH168,25/11/2021
333,5663,KC813,09/10/2024
783,6986,HJ877,01/02/2016
763,9722,FO613,01/09/2016
926,3481,WJ063,24/12/2021
473,9256,ZT827,05/12/2018
771,5731,YJ951,11/07/2023
707,9262,KL461,23/02/2019
571,2451,UN339,25/10/2019
332,4475,ZW978,04/04/2017
791,5222,GL242,08/08/2010
212,3537,ML203,11/01/2023
929,9543,QY917,28/09/2019
596,5093,LK940,22/10/2015
541,2882,EN351,25/09/2013
663,6408,UC443,04/11/2019
367,6068,XT849,14/01/2020
609,6935,BI253,15/10/2016
906,4566,OL765,02/07/2023
485,5277,EO455,12/04/2013
486,2374,ZH148,03/12/2023
212,6546,EI471,26/07/2017
712,5697,KE544,11/08/2012
724,9951,TJ277,09/01/2019
180,5062,ZM394,23/01/2019
798,6690,RK209,14/11/2013
212,5250,YJ018,16/02/2011
101,7329,HG504,24/08/2014
741,6595,TM256,15/10/2011
319,6559,OT339,13/04/2024
665,9291,UD171,18/09/2019
954,2112,BI401,28/08/2018
835,7131,KB137,17/03/2014
324,5197,NT984,22/03/2024
484,9732,WK013,26/01/2017
502,4378,ME394,09/08/2023
737,3924,ID210,13/12/2023
229,9450,NY355,06/03/2019
152,2139,ID568,10/03/2013
783,3424,BA596,13/05/2022
829,4949,LI545,14/06/2023
771,5168,CT987,06/07/2022
809,2516,KX755,04/01/2025
515,4616,BJ582,16/09/2022
346,8043,KD389,23/10/2014
935,8989,TE735,03/07/2017
538,9236,NV829,27/02/2016
302,8261,JT932,24/09/2025
283,2887,OY845,01/09/2019
222,9226,AA958,01/11/2010
500,5104,GG218,10/01/2022
866,7437,OL857,11/04/2022
393,2049,LW153,10/12/2016
379,5951,VK633,29/09/2022
936,5560,JX393,25/12/2017
983,2018,ZZ331,31/10/2013
709,6821,AJ373,29/08/2012
297,8340,DC507,09/10/2016
610,3473,AO562,03/12/2025
851,6061,GR049,17/09/2017
243,4606,MC299,26/03/2017
708,9846,PV957,13/10/2023
300,2451,KZ861,12/08/2021
223,8432,CF451,19/10/2020
286,7260,UX525,11/01/2023
425,7203,HL457,01/10/2021
563,5765,PW259,13/09/2012
448,4438,DX839,24/01/2013
870,9758,SU178,09/10/2014
759,6310,AC357,03/04/2020
863,3549,ZW720,09/01/2024
502,8358,JX443,06/10/2019
445,5474,SE419,08/03/2010
610,2127,BX866,06/08/2012
246,7941,BE728,17/12/2017
247,9644,CB906,16/11/2021
963,6855,GH460,18/05/2017
810,8547,MX876,23/09/2024
919,9196,KT483,29/01/2017
588,7911,KK281,23/09/2015
739,8481,EO018,17/01/2025
650,8974,NT542,16/08/2018
437,4761,LG232,05/10/2010
971,6456,GT632,29/08/2013
740,6664,JV062,25/11/2020
878,3415,NK314,15/03/2017
572,8361,GU061,27/02/2022
250,7693,GP745,26/01/2021
514,7788,CW421,28/05/2012
397,2201,CK667,17/08/2010
710,8160,NW588,20/03/2023
362,4369,AL023,28/01/2012
863,2517,ZI134,11/01/2024
243,9737,UN231,25/10/2014
445,7444,EK064,20/11/2012
723,7531,BK312,30/11/2015
671,3341,ME480,24/06/2018
980,6776,HA300,08/03/2022
101,3988,YR720,06/06/2021
996,9249,LO436,19/11/2012
403,5545,RA590,27/08/2025
353,7587,HZ189,02/11/2012
751,6520,IP478,28/12/2025
552,8064,BO762,16/06/2022
136,5802,AO647,17/04/2025
259,7808,FD799,22/10/2025
108,5275,UJ149,24/10/2013
332,5654,CT562,20/04/2012
198,9162,YD571,24/07/2020
758,4434,KU533,02/11/2025
915,6873,GW185,25/02/2011
307,8241,SM021,02/08/2018
230,9512,UI774,06/11/2023
503,7922,EG514,09/11/2014
251,2207,VZ854,20/06/2014
153,7633,JY413,12/06/2018
219,7755,QV667,02/09/2010
772,9959,PB730,20/08/2020
727,4633,IK476,31/03/2013
686,8309,HQ664,19/03/2023
724,6117,VB911,08/11/2023
519,2153,OB723,25/01/2025
521,8058,SW746,15/07/2018
203,9606,WV406,04/10/2021
951,5366,II947,20/02/2013
353,6314,MR283,25/08/2016
326,6764,JO473,17/01/2020
211,3518,HA607,20/08/2024
609,8373,YA700,14/04/2012
572,8163,LM980,16/06/2010
198,4600,SN952,07/10/2021
252,7045,UF398,22/08/2013
960,4195,UL841,04/08/2014
995,9275,PA997,03/04/2013
977,6498,LX439,17/02/2011
437,6691,JM127,06/05/2024
805,5554,MB188,20/07/2022
921,4414,RP179,15/01/2025
262,7533,RC635,16/10/2018
819,9476,JA746,09/09/2025
780,4849,OE837,04/11/2023
260,9061,PM070,02/09/2015
679,7253,BL197,10/11/2011
900,3742,VZ895,15/09/2021
497,3306,II687,30/11/2019
376,5849,GN094,13/05/2014
915,6168,DT368,25/12/2017
603,6576,KH006,24/11/2022
995,9519,CE598,04/08/2013
491,6655,YX112,11/12/2022
234,9493,BN750,02/03/2014
294,6840,YE494,19/04/2025
500,7562,NZ534,15/12/2012
739,6195,HC006,11/05/2024
132,7178,XN379,08/03/2023
787,4555,NH529,16/09/2017
559,4305,ZY591,09/11/2025
982,6508,BS800,05/08/2019
569,9619,DL015,11/05/2012
474,3088,MM676,04/01/2023
121,4642,SX002,17/11/2010
849,3177,DP479,17/07/2017
769,8104,MZ499,29/07/2014
137,8409,XH480,05/05/2024
329,6916,IU068,09/05/2024
464,9246,ZT822,25/07/2013
662,9482,TO456,31/08/2010
537,6757,CU908,14/09/2022
875,4994,CE729,28/12/2017
382,2559,JO413,29/06/2018
126,4964,KH207,04/03/2014
325,9034,LQ581,31/05/2017
376,3271,QD167,21/01/2020
897,3813,WG430,07/03/2010
708,4915,WE808,19/05/2015
383,2609,QT037,20/07/2014
978,4461,LW187,07/07/2015
580,6120,GU157,01/03/2019
552,8124,KU808,28/12/2024
928,2283,RM877,29/03/2020
915,7568,PD064,21/03/2011
758,4928,XH339,16/12/2010
615,6396,JT940,07/04/2015
646,3091,ZO873,17/04/2024
291,7126,DL737,19/09/2022
148,2816,KW392,17/02/2014
611,9304,LD392,17/06/2014
116,9331,IX024,02/12/2012
271,2082,OF086,09/02/2025
319,3920,XJ551,08/03/2020
257,9817,WZ763,18/03/2020
576,5491,CP658,18/03/2013
145,5144,AA018,27/09/2019
472,9404,AY813,01/11/2024
617,4093,CU955,23/10/2019
198,6713,GH190,03/09/2016
991,9071,WL199,20/01/2010
844,9967,KR224,15/02/2024
136,8405,UB276,24/09/2010
379,2175,HS117,07/01/2012
448,7285,SK040,08/10/2020
596,4704,IE682,31/12/2018
401,6937,PS959,24/06/2019
280,2369,YJ815,11/11/2025
706,3818,CF073,12/10/2019
198,4101,JX120,15/06/2020
799,6785,JO709,07/09/2019
215,5490,HC286,01/01/2020
290,3779,DY468,15/06/2013
352,9674,AS405,21/02/2024
260,3364,EF276,05/08/2011
355,9294,HY644,09/05/2014
422,7528,JF445,22/02/2017
227,6462,QQ816,10/11/2016
117,5342,YS895,10/03/2024
892,6739,UW514,30/03/2014
834,5676,AX145,27/07/2015
665,4426,XB540,07/02/2019
669,2072,KC403,23/03/2024
422,4962,SA910,23/06/2013
971,7367,XE818,10/06/2018
785,2859,LY678,19/02/2010
891,5856,DX148,31/10/2020
725,6138,OB415,02/09/2013
387,4424,RP910,22/02/2019
953,3064,QV238,20/11/2012
762,4217,XM522,03/11/2018
738,6017,DS126,05/08/2024
254,4259,EJ655,03/03/2010
589,7612,NE728,27/08/2015
485,5751,CH659,16/03/2016
884,4086,QX871,15/02/2016
203,2368,FO268,08/11/2011
492,4804,RB172,07/04/2013
910,2150,RV689,19/06/2011
345,3134,DY925,28/06/2012
275,7599,ZR736,14/10/2022
138,7555,IZ522,16/11/2021
576,7166,EM397,21/12/2010
781,7119,OS866,24/11/2013
858,7694,GE198,14/05/2010
637,4784,HA181,25/04/2020
966,8136,NJ446,15/11/2011
917,7485,ND115,09/08/2020
507,6164,OY714,05/03/2017
624,4346,BA814,13/03/2018
927,7039,UY843,23/10/2016
605,6897,II610,30/05/2014
924,8439,WI397,07/05/2023
135,4250,YM615,12/04/2012
784,2060,NZ425,11/04/2025
119,7041,IW695,15/06/2017
420,5010,OC326,02/02/2017
875,5901,TP513,21/01/2023
611,3337,WM698,31/05/2017
499,3184,QS691,16/05/2010
753,6426,IC489,15/01/2020
982,3551,CL641,06/07/2024
570,6433,HR242,20/12/2012
242,3629,PA174,31/01/2025
191,3327,DQ513,08/01/2010
453,3526,TL296,01/03/2017
933,3673,QU973,26/09/2010
899,3361,YF316,20/03/2019
826,3573,LI615,28/03/2019
953,4686,JK249,21/04/2019
150,6370,NN974,25/08/2016
764,7283,NQ266,30/07/2025
797,9610,KO915,20/02/2013
674,4366,NS301,23/05/2011
289,8732,IB699,09/01/2011
224,8647,JM584,03/08/2011
249,5757,EL016,04/10/2022
413,4434,XE164,20/08/2024
669,3993,PB272,30/11/2011
441,2869,FS267,05/03/2017
404,8976,ML131,20/06/2010
791,3014,RI747,26/09/2013
781,3911,QJ457,01/07/2011
937,2602,RV989,25/08/2021
882,5821,CM272,29/04/2024
153,7895,CX406,16/08/2015
543,2690,HG661,10/01/2010
712,2493,QR464,04/07/2019
363,2489,WC380,30/06/2012
152,8864,AG166,14/01/2014
671,9240,DA637,11/10/2010
719,4556,UN034,05/02/2012
104,6485,CT055,01/01/2021
202,9786,YA811,13/12/2011
295,2294,RQ204,03/12/2012
873,7488,LM028,10/12/2023
976,6027,MQ111,01/11/2021
983,4843,LQ836,21/01/2016
449,4912,RC878,17/03/2014
146,3717,XD335,08/07/2021
966,4596,WF493,30/03/2017
922,6744,UN136,07/07/2021
919,3873,AV036,25/01/2025
755,6663,GO963,21/05/2014
368,5258,SR700,11/06/2010
469,8996,IK624,15/08/2024
735,4817,EI253,10/04/2010
205,2444,BW901,17/06/2016
769,5641,TO488,11/08/2012
758,6458,NK296,14/06/2013
756,8266,KT112,02/08/2016
219,7307,RF112,04/11/2010
930,2741,XW211,19/08/2014
886,4041,KJ413,07/01/2012
703,2679,NR442,14/05/2016
157,4467,ZB894,19/12/2019
445,5697,ZA062,16/12/2015
840,9419,MT448,10/05/2014
573,7738,EO051,23/05/2010
216,7668,XU330,19/04/2016
929,3358,HY751,25/03/2021
890,8235,RG978,19/04/2017
226,9697,OO747,23/02/2010
492,2062,NR846,09/05/2016
740,9829,FQ791,04/06/2022
157,4559,UI448,08/04/2024
733,7258,NL561,18/07/2020
612,5769,JG902,06/08/2025
850,9352,QP239,20/09/2013
901,7324,BN374,02/03/2020
195,8915,XS213,21/08/2025
737,9381,FG837,01/02/2016
217,6351,MK179,24/11/2014
659,2134,FT044,26/11/2011
700,5644,FV708,19/06/2017
587,6970,EA146,12/11/2010
336,6917,ER371,30/09/2015
984,4135,QZ032,25/07/2014
996,9131,FD493,03/09/2021
371,5278,EB724,09/09/2025
288,9296,HG460,06/08/2017
803,2822,JP820,15/02/2019
546,5074,OE669,24/02/2025
680,7069,XW495,14/04/2023
889,4981,MF582,31/10/2017
960,7873,LT667,29/07/2016
346,2120,BT555,19/04/2013
175,9552,ER127,05/10/2011
253,3637,ET717,16/06/2019
755,9205,IR126,17/03/2013
534,7460,EM767,04/11/2020
185,7103,BM156,15/05/2018
796,2924,GH439,27/06/2023
384,2644,XA798,14/03/2011
319,4032,PP728,03/12/2015
168,4761,WU114,17/03/2010
146,9003,EC574,23/12/2012
193,4068,HB495,21/09/2024
849,2241,UY468,19/02/2021
552,8598,OO321,22/08/2013
303,9106,RK598,28/06/2015
317,4668,RJ606,17/04/2010
573,8446,CX741,07/04/2010
531,7715,XX741,25/07/2013
440,9762,SL331,01/04/2016
650,2802,DY749,16/06/2017
711,7059,XZ801,16/11/2011
388,6164,UX357,04/01/2010
353,7248,LL727,14/10/2012
833,2195,PZ045,09/08/2015
456,4187,LD057,24/09/2018
122,5515,PZ853,28/10/2011
861,4330,YP965,22/10/2018
621,4359,JF179,10/11/2024
857,6841,GK691,23/09/2010
936,5606,IC691,21/02/2025
199,7784,DG150,20/11/2024
901,2276,DD936,07/04/2024
279,2060,ZX531,31/05/2024
322,5390,QI532,02/09/2012
861,3913,KK978,20/02/2022
758,8195,FQ656,26/08/2019
541,5927,GV333,19/12/2010
707,8296,ZM488,13/07/2018
868,7868,MF833,29/03/2021
424,7430,UY042,19/05/2018
615,7933,HK510,25/08/2024
115,4591,JK729,08/08/2012
891,2566,KG487,18/09/2015
435,5935,AB047,11/08/2023
858,9556,VF614,24/09/2022
357,3571,PJ773,02/11/2018
596,6717,MB146,04/10/2012
995,8121,LC553,29/07/2025
259,3200,KU463,06/09/2013
574,9529,FP069,23/05/2023
951,6409,SH732,06/02/2012
763,4854,IV198,02/12/2022
789,4895,LH207,18/01/2021
774,8240,RR542,26/12/2020
479,9024,AX790,19/07/2012
644,3236,GB243,08/02/2010
790,8972,EI462,02/09/2022
526,2136,IC851,08/02/2015
712,3029,ZF726,22/12/2018
367,9154,HK656,30/07/2023
934,4156,KQ655,25/09/2011
676,4594,AN667,18/06/2015
516,9206,XN334,31/12/2010
267,2661,XL409,27/01/2023
941,4472,TR128,17/03/2018
142,4677,SY082,12/09/2013
655,4308,OY857,30/10/2013
384,9593,HR399,16/05/2020
496,2086,GH702,17/01/2013
111,4512,SL769,11/09/2022
706,8219,HL883,11/04/2020
401,8614,NR129,22/12/2015
997,8557,CG908,10/06/2014
352,8968,DF317,03/08/2013
598,4942,VZ443,14/04/2012
853,4773,EL317,15/07/2011
134,4504,IW065,29/12/2022
826,7404,OS486,14/04/2017
948,5310,WV656,12/12/2015
189,3700,DY070,05/09/2019
875,5670,WO699,17/04/2017
704,4700,PF537,09/11/2011
701,8815,AA922,14/07/2025
517,5629,GN980,11/02/2016
214,9539,AL499,12/07/2012
716,6590,SZ722,31/08/2019
295,3647,DY945,17/11/2022
925,8038,TD844,14/03/2017
600,7164,WM458,17/04/2010
725,7520,ZF806,22/09/2020
592,5318,PF749,01/11/2024
174,5687,UN198,02/03/2018
512,2596,XW647,30/03/2011
475,6545,DE087,17/01/2010
519,2484,OL676,03/12/2010
828,2645,VD513,17/07/2013
376,8763,KW239,27/01/2024
860,5089,SK146,24/09/2016
775,7725,PV684,10/06/2022
493,6757,YC859,27/08/2017
968,6853,MP815,28/11/2010
556,6384,XQ600,21/02/2023
291,9581,SZ534,14/10/2020
838,2720,LA045,15/06/2016
788,6733,TS518,27/12/2019
198,8378,AX277,17/02/2014
647,8559,EL165,22/09/2018
195,9081,ES248,05/01/2016
763,2498,FQ541,28/03/2021
762,9117,EQ813,01/11/2016
289,6729,KX270,30/03/2024
835,3673,OM009,18/02/2013
136,8126,OE372,09/11/2012
879,5067,AF517,08/06/2025
468,2114,OO029,18/08/2012
794,4979,XW036,24/10/2011
624,6769,IF758,08/06/2010
378,3736,GY548,01/01/2022
316,7353,NP884,16/02/2022
966,5611,YQ001,21/03/2018
972,9178,VV017,19/01/2016
897,4253,UN318,14/05/2012
372,9846,CC920,14/04/2019
980,4294,KG884,12/11/2015
161,5630,EZ689,27/10/2013
695,8901,AL200,27/08/2015
979,9294,TR562,16/07/2025
828,2146,RM309,10/01/2013
441,8261,WA419,20/08/2010
496,5982,RY513,05/06/2014
798,5453,HC118,07/11/2019
118,6507,UP457,19/08/2011
276,7783,TI393,24/07/2015
711,9751,UZ736,25/11/2012
495,4410,DS355,30/01/2025
544,7628,MB982,24/08/2011
332,2136,BQ932,08/10/2017
175,9342,CE593,21/11/2017
364,5360,JM153,10/12/2022
554,5005,EU291,04/06/2025
895,5552,OD123,09/08/2021
817,2018,JH068,30/06/2010
834,4242,CS129,13/12/2025
483,8473,KH508,18/05/2011
663,8055,SF251,23/05/2025
950,8318,NN821,20/12/2013
605,7097,HE853,08/02/2021
466,2448,BU152,17/10/2016
243,3948,BY704,10/04/2011
984,2945,ZL264,22/02/2024
168,7473,IQ649,19/09/2022
198,7618,JN382,16/10/2024
495,6236,VP677,17/01/2010
124,8901,SA965,11/01/2013
990,3920,JT159,16/02/2020
568,4977,BV421,10/01/2023
583,6188,LG909,09/11/2018
664,6015,JX942,07/02/2021
250,2238,ZL606,19/06/2025
243,2204,OD894,18/05/2021
668,4607,CE212,23/05/2016
138,7552,FC419,06/01/2018
208,6340,JJ859,01/02/2012
792,6927,OL971,20/07/2014
141,5388,EF399,22/08/2013
285,4972,BT973,08/07/2022
497,6390,KV023,29/11/2015
322,4687,BB604,31/12/2019
733,6951,VN184,21/05/2024
232,9449,UY526,28/12/2023
262,8160,WC919,30/10/2024
314,6166,ZI607,23/04/2023
832,7388,QH498,01/07/2018
334,3348,RK978,04/10/2022
942,9961,XT693,25/01/2023
757,6400,HG559,26/07/2023
850,9618,VJ965,21/12/2013
687,7126,TS879,01/04/2022
108,7433,VG942,01/09/2011
173,2816,RE265,27/10/2017
591,7222,TL737,06/07/2013
352,2820,ZN393,11/03/2021
329,2192,CQ303,14/11/2015
618,3776,KB330,24/08/2021
273,5645,OF876,16/12/2012
752,6624,HN872,16/04/2024
267,8314,XX031,12/05/2023
269,9704,VQ720,24/01/2012
492,2250,DR897,26/10/2022
894,3788,HJ108,21/09/2022
733,9554,JF671,22/12/2010
293,9374,DS114,16/01/2015
616,8684,EV799,17/07/2010
128,5700,EW255,24/12/2010
264,8122,OO866,26/02/2011
521,4463,ZG640,05/03/2023
438,8937,LL772,14/10/2022
747,7499,QO176,15/09/2013
595,3167,ID289,21/07/2012
464,8168,XK638,21/01/2021
932,5893,LX904,02/03/2015
441,8811,NB795,11/10/2021
599,3096,ZG678,19/05/2023
756,4679,EN704,01/09/2023
610,3847,GP958,19/10/2010
426,5904,QO161,04/12/2021
316,9260,AB833,01/06/2024
400,2504,HH822,18/10/2011
231,3621,VT485,12/05/2019
903,8479,RB874,02/01/2025
169,4472,YR356,28/04/2018
351,4546,WW823,01/02/2018
514,3387,QF481,21/10/2019
886,4994,WN808,23/11/2018
544,8773,SS353,27/09/2019
975,5816,IU776,23/07/2014
281,7318,AI727,25/02/2015
266,2717,IZ503,20/11/2021
190,5484,IQ411,12/06/2011
813,6434,IX772,24/01/2015
957,2658,PM185,08/07/2016
630,7057,CI709,27/10/2012
138,6008,DC451,19/03/2023
225,6524,FL086,25/05/2024
550,9950,JZ495,03/04/2014
272,6994,MK679,22/12/2017
752,6234,FE690,10/10/2019
853,5764,IT447,30/03/2025
319,4989,LT655,07/09/2017
737,6637,FR738,20/08/2018
157,4104,PL929,29/05/2018
759,3255,BQ937,08/11/2019
575,8801,CG309,02/01/2020
555,4482,VE965,07/08/2021
928,2383,RZ025,25/12/2012
994,4607,ZF052,11/05/2025
460,2193,OU006,11/09/2011
100,5807,VX679,25/03/2021
486,5719,XT735,18/03/2025
447,4581,EC943,13/12/2013
289,4565,BO105,06/04/2020
604,4763,LJ578,21/04/2021
290,4798,TX659,28/04/2021
607,8328,HP056,15/10/2020
468,7991,DX707,11/03/2011
508,4339,PK065,15/05/2016
923,5406,PG342,09/03/2011
216,2731,KV650,05/07/2018
233,8259,AL849,31/05/2019
157,4872,YJ024,12/11/2020
655,5120,EQ015,23/03/2018
784,6780,IF889,22/04/2024
771,6177,GQ644,01/11/2022
272,8977,VN006,19/09/2015
928,8476,IS702,06/09/2018
914,4604,CL966,19/03/2013
248,4382,AL490,06/02/2019
179,2531,YK104,05/01/2011
985,8079,OV220,29/03/2021
312,6316,CG432,22/02/2024
302,2634,KJ677,17/09/2019
863,3769,ZL789,31/07/2019
328,5804,HC420,28/05/2019
775,4370,SC325,28/10/2023
326,7970,CV301,16/05/2023
758,2002,YB023,26/03/2018
631,7813,WA553,28/08/2018
540,2205,TK359,18/11/2025
501,7951,BP126,18/04/2025
146,6135,TR564,12/04/2023
332,8202,GF649,17/06/2017
404,9094,UQ030,06/10/2012
625,4621,RS791,27/07/2013
242,6739,ST084,06/04/2020
514,7626,VH702,18/10/2019
612,9739,XY703,27/02/2017
472,8003,VB127,22/05/2010
665,4890,FR763,01/04/2022
985,5193,ZL658,29/08/2023
358,9646,CW739,10/02/2023
755,4666,YV029,11/04/2010
570,8239,QS538,14/07/2014
111,9581,LS977,06/03/2019
429,5306,GI261,02/03/2024
835,2897,TE799,14/07/2014
883,3085,RW533,21/12/2011
